=== Loading wragge/hansard-xml speeches ===
  Found 13247 XML files
  Loaded 424976 existing dedup keys
  [4576/13247] 159000 inserted, 2304 deduped
  [4590/13247] 159500 inserted, 2304 deduped
  [4606/13247] 160000 inserted, 2304 deduped
  [4621/13247] 160500 inserted, 2304 deduped
  [4633/13247] 161000 inserted, 2304 deduped
  [4640/13247] 161500 inserted, 2304 deduped
  [4646/13247] 162000 inserted, 2304 deduped
  [4662/13247] 162500 inserted, 2307 deduped
  [4675/13247] 163000 inserted, 2307 deduped
  [4684/13247] 163500 inserted, 2309 deduped
  [4697/13247] 164000 inserted, 2310 deduped
  [4703/13247] 164500 inserted, 2311 deduped
  [4717/13247] 165000 inserted, 2311 deduped
  [4724/13247] 165500 inserted, 2311 deduped
  [4736/13247] 166000 inserted, 2311 deduped
  [4746/13247] 166500 inserted, 2311 deduped
  [4757/13247] 167000 inserted, 2311 deduped
  [4765/13247] 167500 inserted, 2311 deduped
  [4775/13247] 168000 inserted, 2311 deduped
  [4783/13247] 168500 inserted, 2312 deduped
  [4789/13247] 169000 inserted, 2313 deduped
  [4795/13247] 169500 inserted, 2313 deduped
  [4807/13247] 170000 inserted, 2313 deduped
  [4814/13247] 170500 inserted, 2313 deduped
  [4821/13247] 171000 inserted, 2313 deduped
  [4828/13247] 171500 inserted, 2313 deduped
  [4834/13247] 172000 inserted, 2313 deduped
  [4841/13247] 172500 inserted, 2313 deduped
  [4848/13247] 173000 inserted, 2313 deduped
  [4855/13247] 173500 inserted, 2314 deduped
  [4861/13247] 174000 inserted, 2314 deduped
  [4867/13247] 174500 inserted, 2315 deduped
  [4875/13247] 175000 inserted, 2315 deduped
  [4889/13247] 175500 inserted, 2315 deduped
  [4898/13247] 176000 inserted, 2315 deduped
  [4906/13247] 176500 inserted, 2315 deduped
  [4916/13247] 177000 inserted, 2315 deduped
  [4925/13247] 177500 inserted, 2315 deduped
  [4931/13247] 178000 inserted, 2315 deduped
  [4938/13247] 178500 inserted, 2318 deduped
  [4945/13247] 179000 inserted, 2319 deduped
  [4954/13247] 179500 inserted, 2319 deduped
  [4961/13247] 180000 inserted, 2320 deduped
  [4970/13247] 180500 inserted, 2320 deduped
  [4979/13247] 181000 inserted, 2320 deduped
  [4988/13247] 181500 inserted, 2320 deduped
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-02-25.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-03-03.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-03-04.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-03-05.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-03-10.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-03-11.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-03-12.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-03-24.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-03-25.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-03-26.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-03-31.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-04-01.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-04-02.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-04-07.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-04-08.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-04-28.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-04-29.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-04-30.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-05-05.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-05-06.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-05-07.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-05-12.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-05-13.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-05-14.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-05-26.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-05-27.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-05-28.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-06-02.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-06-03.xml: syntax error: line 1, column 64
  ERROR parsing /home/jake/.cache/autoresearch/hansard/hansard-xml/hofreps/1981/reps_1981-06-04.xml: syntax error: line 1, column 64
